filename,doc_type,text
aadhaar_001.pdf,aadhaar,"GOVERNMENT OF INDIA UNIQUE IDENTIFICATION AUTHORITY OF INDIA Aadhaar Card Name: RAJESH KUMAR Father's Name: SURESH KUMAR Date of Birth: 15/08/1985 Address: House No 123, Sector 45, Gurgaon, Haryana PIN: 122003 Aadhaar Number: 1234 5678 9012 VID: 1234567890123456 आधार Help@uidai.gov.in"
aadhaar_002.pdf,aadhaar,"Unique Identification Authority of India UIDAI आधार Enrolment Number: 1234/56789/01234 Name: PRIYA SHARMA Date of Birth: 23/03/1990 Gender: Female Address: Flat 456, Building ABC, Mumbai, Maharashtra - 400001"
aadhaar_003.pdf,aadhaar,"Government of India Aadhaar UIDAI Unique Identification Authority Name: AMIT PATEL DOB: 12/12/1988 Address: 789 MG Road, Bangalore, Karnataka PIN: 560001 Aadhaar: 9876 5432 1098"
pan_personal_001.pdf,pan_personal,"INCOME TAX DEPARTMENT GOVERNMENT OF INDIA Permanent Account Number Card Name: RAJESH KUMAR Father's Name: SURESH KUMAR Date of Birth: 15/08/1985 PAN: ABCDE1234F Signature NSDL e-Gov"
pan_personal_002.pdf,pan_personal,"Permanent Account Number Income Tax Department Name: PRIYA SHARMA Father's Name: RAMESH SHARMA DOB: 23/03/1990 PAN: XYZPQ5678R"
pan_business_001.pdf,pan_business,"INCOME TAX DEPARTMENT Permanent Account Number Card Name: TECH SOLUTIONS PVT LTD PAN: AAACT1234C Application Type: Company Date of Incorporation: 01/04/2010 NSDL"
pan_business_002.pdf,pan_business,"Permanent Account Number GOVERNMENT OF INDIA Name of Entity: SHARMA TRADING PARTNERSHIP Firm PAN: AABFS9876D Business Type: Partnership Firm Registration Date: 15/06/2015"
gst_cert_001.pdf,gst_certificate,"GOVERNMENT OF INDIA GOODS AND SERVICES TAX Certificate of Registration Registration Number (GSTIN): 29AAACT1234C1Z5 Legal Name: TECH SOLUTIONS PRIVATE LIMITED Trade Name: Tech Solutions Date of Registration: 01/07/2017 State: Karnataka Tax Payer Type: Regular Address: 123 MG Road, Bangalore - 560001"
gst_cert_002.pdf,gst_certificate,"GST Registration Certificate GSTIN: 27AABFS9876D1ZE Name: SHARMA TRADING PARTNERSHIP State: Maharashtra Date of Registration: 15/08/2017 Principal Place of Business: Shop No 45, Market Road, Mumbai - 400001"
gst_returns_001.pdf,gst_returns,"GSTR-3B Return Filing Period: July 2023 GSTIN: 29AAACT1234C1Z5 Legal Name: TECH SOLUTIONS PVT LTD Outward Supplies Taxable Value: 5,00,000 CGST: 45,000 SGST: 45,000 Total Tax: 90,000 Filing Status: Filed Date of Filing: 20/08/2023"
